lng,lat,metro,exit
-77.08008786,38.94828421,Tenleytown | AU,NW CORNER OF ABLEMARLE STREET NW AND WISCONSIN AVENUE NW
-77.02156742,38.89754424,Gallery Pl | Chinatown,NE CORNER OF 7TH STREET NW AND F STREET NW
-76.93744926,38.89040523,Benning Road,NE CORNER OF BENNING ROAD NE AND CENTRAL AVENUE NE
-76.98762043,38.84465467,Congress Heights,SOUTH SIDE OF ALABAMA AVENUE SE AT 13TH STREET SE
-77.01596219,38.88500213,Federal Center SW,SOUTH SIDE OF D STREET SW BETWEEN 3RD STREET SW AND 4TH STREET SW
-77.029124,38.91683081,U St | African Amer Civil | War Mem | Cardozo,SE CORNER  OF U STREET NW AND 13TH STREET NW
-77.02082805,38.88468934,LEnfant Plaza,SOUTH SIDE OF D STREET SW BETWEEN 6TH STREET SW AND 7TH STREET SW
-77.00713329,38.87627832,Navy Yard-Ballpark,NW CORNER OF HALF STREET SE AND M STREET SE
-76.99602289,38.86443598,Anacostia,NE CORNER OF HOWARD ROAD SE AND I - 295 SE
-76.9877776,38.84539767,Congress Heights,NORTH SIDE OF ALABAMA AVENUE SE AT 13TH STREET SE
-77.02843744,38.88907828,Smithsonian,NW CORNER OF JEFFERSON DRIVE SW AND 12TH STREET SW
-77.03485716,38.90116214,McPherson Sq,SW CORNER OF VERMONT AVENUE NW AND I STREET NW
-76.99546645,38.86216945,Anacostia,INTERSECTION OF HOWARD ROAD SE AND SHANNON PLACE SE
-77.00382853,38.90571764,NoMa-Gallaudet U,NORTH SIDE OF M STREET NE AT INTERSECTION WITH DELAWARE AVENUE NE
-77.022081,38.89387723,Archives | Navy Mem Elevator,NE CORNER OF 7TH STREET NW AND PENNSYLVANIA AVENUE NW
-77.00607578,38.88518068,Capitol South Elevator,WEST SIDE OF 1ST STREET SE BETWEEN C STREET SE AND D STREET SE
-77.05843711,38.93577698,Cleveland Park Elevator,EAST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW
-76.99604045,38.88426112,Eastern Market Elevator,SOUTH SIDE OF PENNSYLVANIA AVENUE SE BETWEEN 7TH STREET SE AND 8TH STREET SE
-77.02831582,38.8937774,Federal Triangle Elevator,RONALD REAGAN BUILDING - WEST SIDE OF 12TH STREET NW BETWEEN PENNSYLVANIA AVENUE NW AND CONSTITUTION AVENUE NW
-77.02378099,38.89816592,Gallery Pl | Chinatown,SE CORNER OF 9TH STREET NW AND G STREET NW
-77.02165568,38.89964005,Gallery Pl | Chinatown,SE CORNER OF 7TH STREET NW AND H STREET NW
-77.02789388,38.89852655,Metro Center,NE CORNER OF G STREET NW AND 12TH STREET NW 
-77.02945222,38.89814113,Metro Center,SE CORNER OF G STREET NW AND 13TH STREET NW 
-77.02837555,38.89712765,Metro Center,SW CORNER OF F STREET NW AND 12TH STREET NW
-77.04013022,38.90358985,Farragut North,SW CORNER OF L STREET NW AND CONNECTICUT AVENUE NW
-77.03917955,38.90278148,Farragut North,NE CORNER OF 17TH STREET NW AND K STREET NW
-77.05900689,38.93614552,Cleveland Park,WEST SIDE OF CONNECTICUT AVENUE NW BETWEEN PORTER STREET NW AND ORDWAY STREET NW
-77.06352577,38.94455553,Van Ness | UDC,NW CORNER OF CONNECTICUT AVENUE NW AND VEAZEY TERRACE NW
-77.06399597,38.94447618,Van Ness | UDC,NE CORNER OF CONNECTICUT AVENUE AND VEAZEY TERRACE NW
-77.02471477,38.93712879,Georgia Ave | Petworth,WEST SIDE OF GEORGIA AVENUE NW BETWEEN QUINCY STREET NW AND NEW HAMPSHIRE AVENUE NW
-77.02416081,38.93695143,Georgia Ave | Petworth,NE CORNER OF GEORGIA AVENUE NW AND NEW HAMPSHIRE AVE NW
-77.03303204,38.92861892,Columbia Heights,SW CORNER OF IRVING STREET NW AND 14TH STREET NW
